Sample.ID,latitude_north,longitude_east,site,crop
S_0147,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0148,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0149,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0150,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0151,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0152,37.42.39,140.23.25,Fukushima,Spinach
S_0153,42.53.21,143.40.32,Hokkaido,NA
S_0154,42.53.21,143.40.32,Hokkaido,NA
S_0155,42.53.21,143.40.32,Hokkaido,NA
S_0156,42.53.21,143.40.32,Hokkaido,NA
S_0157,42.53.21,143.40.32,Hokkaido,NA
S_0158,42.53.21,143.40.32,Hokkaido,NA
S_0159,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0160,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0161,42.53.21,143.40.32,Hokkaido,NA
S_0162,42.53.21,143.40.32,Hokkaido,NA
S_0163,42.53.21,143.40.32,Hokkaido,NA
S_0164,42.53.21,143.40.32,Hokkaido,NA
S_0165,42.53.21,143.40.32,Hokkaido,NA
S_0166,42.53.21,143.40.32,Hokkaido,NA
S_0167,42.53.21,143.40.32,Hokkaido,NA
S_0168,42.53.21,143.40.32,Hokkaido,NA
S_0169,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0170,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0171,42.53.21,143.40.32,Hokkaido,NA
S_0172,42.53.21,143.40.32,Hokkaido,NA
S_0173,42.53.21,143.40.32,Hokkaido,NA
S_0174,42.53.21,143.40.32,Hokkaido,NA
S_0175,42.53.21,143.40.32,Hokkaido,NA
S_0176,42.53.21,143.40.32,Hokkaido,NA
S_0177,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0178,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0179,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Soybean
S_0180,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0181,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0182,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0183,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0184,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0185,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0186,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0187,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0188,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0189,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0190,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0191,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0192,35.21.04,139.16.53,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish
S_0193,35.10.44,139.37.51,Kaganawa_pref._agricultural_center_in_Miura_,Radish
S_0194,35.10.44,139.37.51,Kaganawa_pref._agricultural_center_in_Miura_,Radish
S_0195,35.10.44,139.37.51,Kaganawa_pref._agricultural_center_in_Miura_,Radish
S_0196,35.10.44,139.37.51,Kaganawa_pref._agricultural_center_in_Miura_,Radish
S_0197,35.10.44,139.37.51,Kaganawa_pref._agricultural_center_in_Miura_,Radish
S_0198,35.10.44,139.37.51,Kaganawa_pref._agricultural_center_in_Miura_,Radish
S_0199,35.10.44,139.37.51,Kaganawa_pref._agricultural_center_in_Miura_,Radish
S_0200,35.10.44,139.37.51,Kaganawa_pref._agricultural_center_in_Miura_,Radish
S_0201,37.42.39,140.23.25,Fukushima,Spinach
S_0202,37.42.39,140.23.25,Fukushima,Spinach
S_0203,37.42.39,140.23.25,Fukushima,Spinach
S_0204,37.42.39,140.23.25,Fukushima,Spinach
S_0205,37.42.39,140.23.25,Fukushima,Spinach
S_0206,37.42.39,140.23.25,Fukushima,Spinach
S_0207,37.42.39,140.23.25,Fukushima,Spinach
S_0208,37.42.39,140.23.25,Fukushima,Radish
S_0209,37.42.39,140.23.25,Fukushima,Spinach
S_0210,37.42.39,140.23.25,Fukushima,Spinach
S_0211,37.42.39,140.23.25,Fukushima,Spinach
S_0212,37.42.39,140.23.25,Fukushima,Spinach
S_0213,37.42.39,140.23.25,Fukushima,Spinach
S_0214,37.42.39,140.23.25,Fukushima,Spinach
S_0215,37.42.39,140.23.25,Fukushima,Spinach
S_0216,37.42.39,140.23.25,Fukushima,Spinach
S_0217,37.42.37,140.23.29,Fukushima,Komatsuna
S_0218,37.42.37,140.23.29,Fukushima,Komatsuna
S_0219,37.42.37,140.23.29,Fukushima,Komatsuna
S_0220,37.42.37,140.23.29,Fukushima,Komatsuna
S_0221,37.42.37,140.23.29,Fukushima,Komatsuna
S_0222,37.42.37,140.23.29,Fukushima,Komatsuna
S_0223,37.42.37,140.23.29,Fukushima,Komatsuna
S_0224,37.42.37,140.23.29,Fukushima,Spinach
S_0225,37.42.37,140.23.29,Fukushima,Komatsuna
S_0226,37.42.37,140.23.29,Fukushima,Komatsuna
S_0227,37.42.37,140.23.29,Fukushima,Komatsuna
S_0228,37.42.37,140.23.29,Fukushima,Komatsuna
S_0229,37.42.37,140.23.29,Fukushima,Komatsuna
S_0230,37.42.37,140.23.29,Fukushima,Komatsuna
S_0231,37.42.37,140.23.29,Fukushima,Komatsuna
S_0232,37.42.37,140.23.29,Fukushima,Komatsuna
S_0233,37.42.37,140.23.29,Fukushima,Komatsuna
S_0234,37.42.37,140.23.29,Fukushima,Komatsuna
S_0235,37.42.37,140.23.29,Fukushima,Komatsuna
S_0236,37.42.37,140.23.29,Fukushima,Komatsuna
S_0237,37.42.37,140.23.29,Fukushima,Komatsuna
S_0238,37.42.37,140.23.29,Fukushima,Komatsuna
S_0239,37.42.37,140.23.29,Fukushima,Komatsuna
S_0240,37.42.37,140.23.29,Fukushima,Komatsuna
S_0241,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0242,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0243,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0244,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0245,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0246,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0247,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0248,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Komatsuna
S_0249,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0250,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0251,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0252,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0253,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0254,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0255,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0256,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0257,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0258,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0259,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0260,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0261,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0262,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0263,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0264,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0265,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0266,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0267,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0268,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0269,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Spinach
S_0270,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0271,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0272,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0273,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0274,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0275,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0276,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0277,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0278,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0279,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0280,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0281,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0282,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0283,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0284,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0285,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0286,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0287,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0288,NA,NA,NA,Soybean
S_0289,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0290,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0291,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0292,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0293,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0294,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0295,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0296,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0297,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0298,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0299,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0300,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0301,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0302,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0303,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0304,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0305,35.12.12,139.37.53,Yokosuka,Cabbage
S_0306,35.12.12,139.37.53,Yokosuka,Cabbage
S_0307,35.12.12,139.37.53,Yokosuka,Soybean
S_0308,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0309,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0310,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0311,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0312,35.00.54,135.33.42,"amarube,_kameoka,_KYOTO",Soybean
S_0313,39.34.51,140.11.49,Akita,Cabbage
S_0314,40.18.30,141.23.40,Karumai,Cabbage
S_0315,40.18.30,141.23.40,Karumai,Cabbage
S_0316,40.18.30,141.23.40,Karumai,Cabbage
S_0317,40.18.30,141.23.40,Karumai,Cabbage
S_0318,40.18.30,141.23.40,Karumai,Cabbage
S_0319,40.18.30,141.23.40,Karumai,Cabbage
S_0320,35.12.12,139.37.53,Yokosuka,Cabbage
S_0321,36.29.33,138.29.10,Tsumagoi,Cabbage
S_0322,36.29.33,138.29.10,Tsumagoi,Cabbage
S_0323,36.29.33,138.29.10,Tsumagoi,Cabbage
S_0324,39.34.51,140.11.49,Akita,Cabbage
S_0325,39.34.51,140.11.49,Akita,Cabbage
S_0326,39.34.51,140.11.49,Akita,Cabbage
S_0327,39.34.51,140.11.49,Akita,Cabbage
S_0328,39.34.51,140.11.49,Akita,Cabbage
S_0329,34.40.08,136.27.26,Tsu,Cabbage
S_0330,34.40.08,136.27.26,Tsu,Cabbage
S_0331,34.40.08,136.27.26,Tsu,Cabbage
S_0332,36.29.33,138.29.10,Tsumagoi,Cabbage
S_0333,36.29.33,138.29.10,Tsumagoi,Cabbage
S_0334,36.29.33,138.29.10,Tsumagoi,Cabbage
S_0335,36.29.33,138.29.10,Tsumagoi,Cabbage
S_0336,36.29.33,138.29.10,Tsumagoi,Cabbage
S_0337,35.12.12,139.37.53,Yokosuka,Cabbage
S_0338,35.12.12,139.37.53,Yokosuka,Cabbage
S_0339,35.12.12,139.37.53,Yokosuka,Cabbage
S_0340,34.39.29,136.22.43,Tsu,Cabbage
S_0341,34.39.29,136.22.43,Tsu,Cabbage
S_0342,34.39.29,136.22.43,Tsu,Cabbage
S_0343,34.39.29,136.22.43,Tsu,Cabbage
S_0344,34.40.08,136.27.26,Tsu,Cabbage
S_0345,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0346,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0347,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0348,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0349,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0350,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0351,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Cabbage
S_0352,35.12.12,139.37.53,Yokosuka,Cabbage
S_0353,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0354,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0355,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0356,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0357,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0358,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0359,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0360,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0361,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0362,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0363,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0364,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0365,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0366,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0367,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0368,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0369,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0370,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0371,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0372,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0373,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0374,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0375,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0376,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0377,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0378,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0379,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0380,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0381,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0382,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
S_0383,36.01.40,140.06.01,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Sweet_corn
