Site,Crop,Project,ID,Specificity_to_disease_level_1,Pvalue,FDR,Kingdom,Phylum
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00080,1.876014571,0.0342,0.051690411,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00203,0.510324581,0.2802,0.311228859,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00661,0.435344243,0.3024,0.329257895,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00117,-0.218844035,0.4194,0.427142769,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00054,-0.960671374,0.167,0.207808271,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_02153,-1.069983252,0.1206,0.158407143,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00529,-1.739290941,0.014,0.023642857,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_02159,-1.899719136,0,0,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00601,-2.129629977,9.00E-04,0.002174453,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_01318,-2.154101911,0.0044,0.008418497,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_01766,-2.29333892,4.00E-04,0.001018462,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00676,-2.727111131,1.00E-04,0.000285345,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00975,-3.16198842,0,0,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00439,-3.175051869,0,0,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00460,-4.236980808,0,0,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_01693,1.318561232,0.0721,0.2908,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00700,0.916749974,0.1696,0.423759375,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00118,0.80767967,0.2021,0.423759375,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00431,0.717423568,0.2183,0.423759375,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00383,0.593366983,0.2587,0.441418182,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_01085,0.512261975,0.2734,0.446194667,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00080,0.434074643,0.3216,0.465796,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00719,0.289885424,0.3685,0.465796,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00110,0.286674686,0.3778,0.465796,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00942,0.214786236,0.4534,0.477527897,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00850,0.183424763,0.4018,0.471576923,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00469,0.142234369,0.434,0.477527897,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00619,0.077909394,0.4642,0.478837131,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00893,0.057253477,0.4503,0.477527897,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00199,-0.066484915,0.4466,0.477527897,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00299,-0.198698071,0.3734,0.465796,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00438,-0.387003182,0.3285,0.465796,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00243,-0.513146016,0.2743,0.446194667,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00743,-0.540767992,0.2743,0.446194667,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00026,-0.629093839,0.2514,0.438677143,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00182,-0.674826791,0.2223,0.423759375,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00142,-0.770716007,0.2022,0.423759375,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00054,-0.79336811,0.1931,0.423759375,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00021,-1.336057957,0.0884,0.308485714,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00365,-2.021637871,0.0221,0.213906667,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_01368,-2.27717858,0.0109,0.1952,Bacteria,Acidobacteriota
Miyota,Chinese cabbage,Control_of_verticillium_yellows_on_chinese_cabbage_by_soil_application_of_oat-Chinese_cabbage,Bac_00101,-2.470931183,0.0074,0.1952,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_17,Bac_00118,3.601070522,2.00E-04,0.001273239,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_22,Bac_00245,3.444452346,4.00E-04,0.002378947,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_39,Bac_01596,3.003785328,0.0022,0.008572414,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_50,Bac_00187,2.799397989,0.0029,0.010744262,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_56,Bac_00339,2.668574416,0.0055,0.018014493,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_64,Bac_00180,2.51267366,0.0071,0.021980822,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_65,Bac_00804,2.503688674,0.0085,0.025276316,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_67,Bac_01618,2.481047696,0.0078,0.023821622,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_72,Bac_00373,2.415771108,0.0108,0.029407229,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_74,Bac_00142,2.409885917,0.0121,0.031432184,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_77,Bac_00438,2.335900814,0.012,0.031352601,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_80,Bac_00082,2.311962253,0.0115,0.030757396,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_105,Bac_01078,2.00258512,0.026,0.056229665,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_115,Bac_00334,1.879214456,0.0311,0.063320721,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_138,Bac_00332,1.580904264,0.0537,0.09556063,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_161,Bac_01771,1.326393401,0.0813,0.128488112,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_177,Bac_00101,1.029943599,0.135,0.192492114,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_178,Bac_00656,1.023578242,0.1372,0.194458567,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_181,Bac_00253,0.984382075,0.1577,0.21534864,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_190,Bac_00199,0.811287692,0.1879,0.240981303,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_195,Bac_01140,0.763693991,0.2018,0.249711475,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_209,Bac_00706,0.56384908,0.2658,0.302851385,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_214,Bac_00406,0.519787233,0.2884,0.323466005,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_220,Bac_00646,0.413880556,0.3197,0.352670244,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_222,Bac_01106,0.387413519,0.3162,0.351160688,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_235,Bac_00080,0.192512674,0.4127,0.427844954,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_238,Bac_01097,0.095817246,0.4214,0.434869406,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_262,Bac_00110,-0.417910365,0.341,0.372299517,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_274,Bac_00823,-0.703216866,0.2289,0.275407447,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_279,Bac_00026,-0.750395966,0.2291,0.275407447,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_286,Bac_00283,-0.827927131,0.1938,0.24177033,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_305,Bac_00021,-0.962033973,0.166,0.222646884,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_323,Bac_00727,-1.282985588,0.0792,0.126050704,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_329,Bac_00349,-1.431851121,0.0654,0.107886131,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_334,Bac_00299,-1.513603197,0.0565,0.098984496,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_398,Bac_00424,-2.608749319,0,0,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_400,Bac_00431,-2.62212558,5.00E-04,0.002790123,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_403,Bac_00257,-2.681560713,0.0012,0.005424,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_405,Bac_01986,-2.695874023,0,0,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_408,Bac_00539,-2.830836814,0,0,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_410,Bac_00203,-2.865495776,0,0,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_421,Bac_00485,-3.076543791,0,0,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_446,Bac_00054,-3.593461924,0,0,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_447,Bac_00201,-3.606814493,0,0,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00706,3.058920812,2.00E-04,0.00612,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00373,2.332937085,0.0025,0.025036364,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00646,2.025832169,0.0158,0.060435,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00118,1.753070459,0.0336,0.090189474,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00406,1.695810722,0.0354,0.092584615,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00080,1.608149193,0.0492,0.1107,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00082,0.900028665,0.1832,0.276605911,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00283,0.651517632,0.2468,0.332690749,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00199,0.540595586,0.2794,0.353290909,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00142,0.536992416,0.3024,0.373122581,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00424,0.069071033,0.4596,0.479365886,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_01362,-0.360561116,0.3197,0.388207143,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00299,-0.874828806,0.1794,0.273116418,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00349,-0.885949438,0.1761,0.271728,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00203,-1.066938317,0.1298,0.221892737,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00054,-1.117973095,0.1284,0.220732584,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00026,-1.524678753,0.0634,0.130764,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00201,-1.553320394,0.0553,0.1196375,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00485,-1.648566378,0.0489,0.1107,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00679,-1.728411409,0.0383,0.096063934,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00257,-1.739803045,0.0425,0.10404,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_01434,-1.881477741,0.0261,0.079075248,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_01147,-1.967143344,0.0203,0.069795506,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00539,-2.481537722,0.0065,0.034293103,Bacteria,Acidobacteriota
Kasai,tomato,Effect_of_biocontrol_agent_on_tomato_Crown_(foot)_and_root_rot-Tomato,Bac_00021,-2.506840785,0.0064,0.034293103,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_16,Bac_00080,3.249219439,5.00E-04,0.006470588,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_54,Bac_00283,0.76550883,0.1982,0.290693333,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_108,Bac_00201,-0.540360905,0.2964,0.372617143,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_141,Bac_00082,-1.069726958,0.1422,0.245922481,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_151,Bac_00417,-1.281426687,0.0944,0.185428571,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_154,Bac_00117,-1.383052932,0.0759,0.156056075,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_162,Bac_00054,-1.660036184,0.0464,0.107452632,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_176,Bac_00286,-1.859329529,0.026,0.075263158,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_178,Bac_00661,-1.868572026,0.0251,0.073626667,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_182,Bac_00203,-1.972991844,0.0212,0.067594203,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_183,Bac_00026,-1.973895637,0.0247,0.073626667,Bacteria,Acidobacteriota
Sagae,tomato,Effect_of_biocontrol_agent_on_tomato_bacterial_wilt_186,Bac_00021,-2.071805172,0.0187,0.061402985,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00262,4.059676412,2.00E-04,0.000495402,Bacteria,Actinobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00284,4.018801137,0.0018,0.003879,Bacteria,Actinobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00004,3.13817909,0.0017,0.003700505,Bacteria,Actinobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00491,3.068647395,0.0036,0.00756878,Bacteria,Actinobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00168,2.929995926,0.005,0.010023256,Bacteria,Actinobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00006,2.731034871,0.0068,0.013261538,Bacteria,Actinobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00040,2.293902756,0.0175,0.031167355,Bacteria,Actinobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00058,2.222223447,0.022,0.037928,Bacteria,Actinobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00055,2.076582344,0.0272,0.04542973,Bacteria,Actinobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00002,2.053696883,0.0301,0.04914053,Bacteria,Actinobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00736,1.679714607,0.0607,0.08779094,Bacteria,Actinobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00938,1.651917285,0.0574,0.083862373,Bacteria,Actinobacteriota
